Description,Product Name,Image,Rating
"Kamera Çözünürlüğü:50 MP +12 MP +10 MP; Dahili Hafıza:256 GB; RAM Kapasitesi:16 GB; Ekran Boyutu:6,7 inç; Pil Gücü (mAh):5000; Mobil Bağlantı Hızı:5G; Ön Kamera Çözünürlüğü:16 MP; Garanti Tipi:Genpa Garantili; Ön Kamera Sayısı:1; Ekran Çözünürlüğü:QHD+; Ekran Teknolojisi:Dinamik AMOLED; Ön Kamera Çözünürlük Aralığı:15 - 20 MP; Görüntü Teknolojisi:AMOLED; Ana Kamera Flaş:Var; Ön Kamera Flaş:Var; Ekran Cinsi:Süper AMOLED; Arka Kamera Sayısı:3; Ekran Boyut Aralığı:6.5'' - 7''; İşletim Sistemi:Android; Çift Hat:Var; Kablosuz Şarj:Yok; Yüz Tanıma:Var; Dokunmatik Ekran:Var; Garanti Süresi:2 Yıl; Şarj Girişi:USB Type-C; Ana Kamera Çözünürlük Aralığı:40 - 60 MP; NFC:Var; Ekran Yenileme Hızı:120 Hz; Kulaklık Girişi:USB Type-C; Video Kayıt Çözünürlüğü:4320p (Ultra HD) 8K; Şarj Hızı:100-120 W; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Yok; Batarya Kapasitesi Aralığı:4500-5000 mAh; Parmak İzi Okuyucu:Var; Suya/Toza Dayanıklılık:Var; Renk:Yeşil; Yapay Zeka:Yok;",OnePlus 12,https://cdn.dsmcdn.com/ty1013/product/media/images/prod/SPM/PIM/20231011/15/1b4184d0-5c91-3a06-9293-449ec88bf5f0/1_org_zoom.jpg,4.4
Cep Telefonu Modeli:Belirtilmemiş; Renk:Beyaz; Uyumlu Marka:Realme Uyumlu; Menşei:CN;,Realme GT 6,https://cdn.dsmcdn.com/ty1663/prod/QC/20250411/13/4de10410-1f52-33e9-b97c-4924cbaad1e5/1_org_zoom.jpg,
Cep Telefonu Modeli:iPhone 5S; Uyumlu Marka:Apple Uyumlu;,Asus ROG Phone 8,https://cdn.dsmcdn.com/ty295/product/media/images/20220113/2/25735806/357502165/1/1_org_zoom.jpg,
Menşei:CN;,Nokia XR21,https://cdn.dsmcdn.com/ty1670/prod/QC/20250424/16/0bde1bf1-f622-3e06-8557-ec8e564f5687/1_org_zoom.jpg,
Pil Gücü (mAh):2800 ve üstü; Garanti Tipi:İthalatçı Garantili; Garanti Süresi:Belirtilmemiş;,Sony Xperia 1 V,https://cdn.dsmcdn.com/ty95/product/media/images/20210404/22/cb473c77/59997642/1/1_org_zoom.jpg,1.0
"Kamera Çözünürlüğü:108 MP + 12 MP + 5 MP + 5 MP; Dahili Hafıza:256 GB; RAM Kapasitesi:8 GB; Ekran Boyutu:6,7 inç; Pil Gücü (mAh):5000; Mobil Bağlantı Hızı:4G; Ön Kamera Çözünürlüğü:40 - 60 MP; Garanti Tipi:KVK Garantili; Ön Kamera Sayısı:1; Ekran Çözünürlüğü:FHD+; Ekran Teknolojisi:FHD+; Ön Kamera Çözünürlük Aralığı:40 - 60 MP; Görüntü Teknolojisi:AMOLED; Ana Kamera Flaş:Var; Ön Kamera Flaş:Var; Ekran Cinsi:AMOLED; Arka Kamera Sayısı:3; Ekran Boyut Aralığı:6.5'' - 7''; İşletim Sistemi:Android; Çift Hat:Var; Kablosuz Şarj:Yok; Yüz Tanıma:Var; Dokunmatik Ekran:Var; Garanti Süresi:2 Yıl; Şarj Girişi:USB Type-C; Ana Kamera Çözünürlük Aralığı:100 -120 MP; NFC:Var; Ekran Yenileme Hızı:120 Hz; Kulaklık Girişi:USB Type-C; Video Kayıt Çözünürlüğü:2160p (Ultra HD) 4K; Şarj Hızı:40-60 W; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Var; Batarya Kapasitesi Aralığı:5000-6000 mAh; Parmak İzi Okuyucu:Var; Suya/Toza Dayanıklılık:Var; Renk:Yeşil; Yapay Zeka:Yok;",Infinix Zero Ultra,https://cdn.dsmcdn.com/ty1539/product/media/images/ty1536/prod/QC/20240912/16/c8bf3f77-0f54-362f-98dc-48f2c138fb9e/1_org_zoom.jpg,4.3
"Garanti Tipi:Resmi Distribütör Garantili; Kamera Çözünürlüğü:20 MP ve üstü; Dahili Hafıza:512 GB; RAM Kapasitesi:12 GB; Ekran Boyutu:6,53 inç; Pil Gücü (mAh):4000 - 5000; Mobil Bağlantı Hızı:5G; Ön Kamera Sayısı:2; Ekran Çözünürlüğü:QHD; Ekran Teknolojisi:FHD+; Ön Kamera Çözünürlüğü:32 MP; Ön Kamera Çözünürlük Aralığı:10 - 15 MP; Ana Kamera Flaş:Var; Ekran Cinsi:AMOLED; Arka Kamera Sayısı:2; İşletim Sistemi:Android; Çift Hat:Var; Kablosuz Şarj:Var; Yüz Tanıma:Var; Dokunmatik Ekran:Var; Garanti Süresi:2 Yıl; Şarj Girişi:USB Type-C; Ana Kamera Çözünürlük Aralığı:20 - 40 MP; NFC:Var; Ekran Yenileme Hızı:120 Hz; Şarj Hızı:60-80 W; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Var; Batarya Kapasitesi Aralığı:4500-5000 mAh; Parmak İzi Okuyucu:Var; Suya/Toza Dayanıklılık:Var; Renk:Yeşil; Yapay Zeka:Yok;",Tecno Phantom V Fold,https://cdn.dsmcdn.com/ty1622/prod/QC/20250102/21/fbbfab6b-1add-3a19-8f28-2a70d20862fc/1_org_zoom.jpg,
Uyumlu Marka:ZTE Uyumlu;,ZTE Nubia Z60 Ultra,https://cdn.dsmcdn.com/ty1333/product/media/images/prod/QC/20240514/17/bcbee953-fd9b-3e6a-a10d-9483ea129b62/1_org_zoom.jpg,
"Garanti Tipi:Resmi Distribütör Garantili; Kamera Çözünürlüğü:50 MP; Dahili Hafıza:256 GB; RAM Kapasitesi:12 GB; Ekran Boyutu:6,7 inç; Pil Gücü (mAh):5000; Mobil Bağlantı Hızı:5G; Ön Kamera Sayısı:1; Ekran Çözünürlüğü:FHD+; Ekran Teknolojisi:FHD+; Ön Kamera Çözünürlük Aralığı:20 - 40 MP; Ana Kamera Flaş:Var; Ekran Cinsi:LCD; Arka Kamera Sayısı:2; Ekran Boyut Aralığı:6.5'' - 7''; İşletim Sistemi:Android; Çift Hat:Var; Kablosuz Şarj:Yok; Yüz Tanıma:Yok; Dokunmatik Ekran:Var; Garanti Süresi:2 Yıl; Şarj Girişi:USB Type-C; Ana Kamera Çözünürlük Aralığı:40 - 60 MP; NFC:Var; Ekran Yenileme Hızı:60 Hz; Kulaklık Girişi:USB Type-C; Şarj Hızı:10-20 W; Arttırılabilir Hafıza (Hafıza Kartı Desteği):Var; Batarya Kapasitesi Aralığı:4500-5000 mAh; Parmak İzi Okuyucu:Var; Suya/Toza Dayanıklılık:Var; Renk:Beyaz; Yapay Zeka:Yok;",Nothing Phone (2a),https://cdn.dsmcdn.com/ty1205/product/media/images/prod/SPM/PIM/20240312/08/16880aa2-5906-3bcb-8419-cdb9b29a5468/1_org_zoom.jpg,5.0
"Ram (Sistem Belleği):24 GB; SSD Kapasitesi:512 GB; İşletim Sistemi:Mac Os; Ekran Kartı:Dahili Ekran Kartı; İşlemci Tipi:Apple M4 Pro; Ekran Boyutu:14,2 inç; Çözünürlük:3024 x 1964; Kullanım Amacı:Ofis - İş; Cihaz Ağırlığı:2 kg ve altı; Ekran Yenileme Hızı:120 Hz; Ekran Kartı Tipi:Dahili; Ekran Kartı Hafızası:Paylaşımlı; İşlemci Modeli:Belirtilmemiş; İşlemci Nesli:4. Nesil; İşlemci Çekirdek Sayısı:12+; Hard Disk Kapasitesi:HDD Yok; Dokunmatik Ekran:Yok; Ram (Sistem Belleği) Tipi:Birleşik Bellek; Renk:Siyah; Garanti Tipi:Apple Türkiye Garantili; Bağlantılar:USB-C; Klavye:Q Türkçe (Aydınlatmalı); Ekran Kartı Bellek Tipi:Dahili; Çözünürlük Standartı:Retina; Garanti Süresi:2 Yıl; Suya/Toza Dayanıklılık:Yok; Hızlı Şarj:Yok; Parmak İzi Okuyucu:Yok;",Apple MacBook Pro 14-inch M3 Pro,https://cdn.dsmcdn.com/ty1608/prod/QC/20241202/10/d7a717a4-a97d-3c83-9778-d191575cbeb4/1_org_zoom.jpg,4.5
Ram (Sistem Belleği):32 GB; SSD Kapasitesi:1 TB; İşletim Sistemi:Windows; Ekran Kartı:Dahili Ekran Kartı; Garanti Tipi:Resmi Distribütör Garantili; İşlemci Tipi:Intel Core Ultra 7; Ekran Boyutu:14 inç; Çözünürlük:2880 x 1800; Kullanım Amacı:Ev - Okul; Cihaz Ağırlığı:2 kg ve altı; Ekran Yenileme Hızı:120 Hz; Ekran Kartı Tipi:Dahili; Ekran Kartı Hafızası:Paylaşımlı; İşlemci Modeli:Belirtilmemiş; İşlemci Nesli:Belirtilmemiş; İşlemci Çekirdek Sayısı:8; Hard Disk Kapasitesi:HDD Yok; Dokunmatik Ekran:Var; Panel Tipi:OLED; Ram (Sistem Belleği) Tipi:Birleşik Bellek; Arttırılabilir Azami Bellek:8 GB; Renk:Siyah; Temel İşlemci Hızı (GHz):3.2; Maksimum İşlemci Hızı (GHz):4.8; Optik Sürücü Tipi:Yok; Bağlantılar:Bluetooth - USB; Klavye:Q Türkçe (Aydınlatmalı); Ekran Kartı Bellek Tipi:Dahili; Çözünürlük Standartı:OLED 3.2K; Garanti Süresi:2 Yıl; Suya/Toza Dayanıklılık:Yok; Hızlı Şarj:Yok; Parmak İzi Okuyucu:Yok;,ASUS Zenbook S14 OLED,https://cdn.dsmcdn.com/ty1575/prod/QC/20240930/12/61fec94d-a9d2-3929-b0a8-09f4cc3c90eb/1_org_zoom.jpg,5.0
Ram (Sistem Belleği):16 GB; SSD Kapasitesi:512 GB; İşletim Sistemi:Windows; Garanti Tipi:İthalatçı Garantili; İşlemci Tipi:Intel Core Ultra 7; Ekran Kartı:Intel Arc Graphics; Ekran Boyutu:14 inç; Çözünürlük:2880 x 1800; Kullanım Amacı:Ofis - İş; Cihaz Ağırlığı:2 kg ve altı; Ekran Yenileme Hızı:120 Hz; Ekran Kartı Tipi:Dahili; Ekran Kartı Hafızası:Paylaşımlı; İşlemci Modeli:256V; İşlemci Nesli:2. Nesil; İşlemci Çekirdek Sayısı:8; Hard Disk Kapasitesi:HDD Yok; Dokunmatik Ekran:Var; Panel Tipi:OLED; Ram (Sistem Belleği) Tipi:DDR5; Arttırılabilir Azami Bellek:16 GB; Renk:Siyah; Temel İşlemci Hızı (GHz):2.2; Maksimum İşlemci Hızı (GHz):4.8; Optik Sürücü Tipi:Yok; Bağlantılar:USB - Bluetooth - HDMI; Klavye:Q İngilizce; Ekran Kartı Bellek Tipi:Dahili; Çözünürlük Standartı:Belirtilmemiş; Garanti Süresi:2 Yıl; Suya/Toza Dayanıklılık:Yok; Hızlı Şarj:Yok; Parmak İzi Okuyucu:Yok;,ASUS Zenbook S16 OLED,https://cdn.dsmcdn.com/ty1623/prod/QC/20250110/14/b51c32ad-aec4-3d07-8c21-6cb5dd508a21/1_org_zoom.jpg,
İşlemci Tipi:Intel Core i3; Ram (Sistem Belleği):8 GB; SSD Kapasitesi:512 GB; İşletim Sistemi:Free Dos (İşletim Sistemi Yok); Ekran Kartı:Dahili Ekran Kartı; Ekran Boyutu:14 inç; Çözünürlük:1920 x 1080; Kullanım Amacı:Ev - Okul; Cihaz Ağırlığı:2 kg ve altı; Ekran Yenileme Hızı:60 Hz; Ekran Kartı Tipi:Dahili; Ekran Kartı Hafızası:Paylaşımlı; İşlemci Modeli:N305; İşlemci Nesli:13. Nesil; İşlemci Çekirdek Sayısı:8; Hard Disk Kapasitesi:HDD Yok; Dokunmatik Ekran:Yok; Ram (Sistem Belleği) Tipi:DDR4; Renk:Beyaz; Garanti Tipi:HP Türkiye Garantili; Maksimum İşlemci Hızı (GHz):3.8; Optik Sürücü Tipi:Yok; Bağlantılar:USB - Bluetooth - HDMI; Klavye:Q Türkçe (Aydınlatmasız); Ekran Kartı Bellek Tipi:Dahili; Çözünürlük Standartı:Full HD (FHD); Garanti Süresi:2 Yıl; Menşei:TR; Suya/Toza Dayanıklılık:Yok; Hızlı Şarj:Yok; Parmak İzi Okuyucu:Yok;,Lenovo Transparent Laptop Concept,https://cdn.dsmcdn.com/ty900/product/media/images/20230524/11/358075756/940073984/2/2_org_zoom.jpg,4.4
"İşlemci Tipi:Intel Core M; Ram (Sistem Belleği):4 GB; SSD Kapasitesi:120 GB; İşletim Sistemi:Free Dos (İşletim Sistemi Yok); Ekran Kartı:Intel Iris Pro Graphics; Garanti Tipi:Resmi Distribütör Garantili; Ekran Boyutu:15,6 inç; Çözünürlük:1920 x 1080; Kullanım Amacı:Ofis - İş; Cihaz Ağırlığı:2 - 4 kg; Şarjlı Kullanım Süresi:4-6 Saat; Ekran Yenileme Hızı:60 Hz; Ekran Kartı Tipi:Dahili; Ekran Kartı Hafızası:Paylaşımlı; İşlemci Modeli:1000M; İşlemci Nesli:13. Nesil; İşlemci Çekirdek Sayısı:10; Hard Disk Kapasitesi:HDD Yok; Dokunmatik Ekran:Yok; Panel Tipi:IPS; Ram (Sistem Belleği) Tipi:DDR4; Renk:Siyah; Temel İşlemci Hızı (GHz):3.3; Maksimum İşlemci Hızı (GHz):4.6; Optik Sürücü Tipi:Yok; Bağlantılar:Bluetooth; Klavye:Q Türkçe (Aydınlatmalı); Ekran Kartı Bellek Tipi:GDDR5X; Çözünürlük Standartı:FHD+; Garanti Süresi:2 Yıl; Menşei:TR;",Dell XPS 15 2024,https://cdn.dsmcdn.com/ty1625/prod/QC/20250116/10/5726352c-5b76-3672-96f9-2c73dcc945c8/1_org_zoom.jpg,
Ram (Sistem Belleği):32 GB; SSD Kapasitesi:1 TB; İşletim Sistemi:Windows; Garanti Tipi:Resmi Distribütör Garantili; İşlemci Tipi:Intel Core Ultra 7; Ekran Kartı:Intel Arc Graphics; Ekran Boyutu:14 inç; Çözünürlük:2880 x 1800; Kullanım Amacı:Ev - Okul; Cihaz Ağırlığı:2 kg ve altı; Ekran Yenileme Hızı:Belirtilmemiş; Ekran Kartı Tipi:Dahili; Ekran Kartı Hafızası:Paylaşımlı; İşlemci Modeli:155H; İşlemci Nesli:Belirtilmemiş; İşlemci Çekirdek Sayısı:16; Hard Disk Kapasitesi:HDD Yok; Dokunmatik Ekran:Yok; Ram (Sistem Belleği) Tipi:Belirtilmemiş; Renk:Siyah; Bağlantılar:USB; Klavye:Q Türkçe (Aydınlatmalı); Ekran Kartı Bellek Tipi:Dahili; Çözünürlük Standartı:FHD+; Garanti Süresi:2 Yıl; Menşei:CN;,HP Spectre x360 14,https://cdn.dsmcdn.com/ty1650/prod/QC/20250319/09/bc489eea-1f11-3091-af01-b99957fc1295/1_org_zoom.jpg,
İşlemci Tipi:Intel Core i9; Ram (Sistem Belleği):32 GB; SSD Kapasitesi:1 TB; İşletim Sistemi:Windows; Çözünürlük:2560 x 1600; Ekran Yenileme Hızı:240 Hz; Garanti Tipi:Resmi Distribütör Garantili; Ekran Kartı:Nvidia GeForce RTX 4080; Ekran Boyutu:16 inç; Kullanım Amacı:Oyun; Cihaz Ağırlığı:2 - 4 kg; Şarjlı Kullanım Süresi:4-6 Saat; Ekran Kartı Tipi:Harici; Ekran Kartı Hafızası:12 GB; İşlemci Modeli:13950HX; İşlemci Çekirdek Sayısı:24; İşlemci Nesli:13. Nesil; Hard Disk Kapasitesi:HDD Yok; Dokunmatik Ekran:Yok; Panel Tipi:LED; Çözünürlük Standartı:QHD+; Ram (Sistem Belleği) Tipi:DDR5; Arttırılabilir Azami Bellek:64 GB; Bağlantılar:USB - Bluetooth - HDMI; Ekran Kartı Bellek Tipi:GDDR6; Temel İşlemci Hızı (GHz):1.8; Klavye:Q İngilizce; Maksimum İşlemci Hızı (GHz):+5; Garanti Süresi:2 Yıl; Renk:Beyaz; Ekran Kartı Gücü:175W;,Razer Blade 16 (2024),https://cdn.dsmcdn.com/ty1333/product/media/images/prod/QC/20240521/14/379081d2-8194-3ef5-ad99-38ba8512d3f1/1_org_zoom.jpg,4.0
Renk:Beyaz; Uyumlu Model:Belirtilmemiş; Ekran Boyutu (inç):Belirtilmemiş; Uyumlu Marka:Belirtilmemiş; Menşei:TR;,MSI Stealth 17 Studio,https://cdn.dsmcdn.com/ty1667/prod/QC/20250422/01/9bbd69fa-3be7-39b6-93b9-dee3e6785fa3/1_org_zoom.jpg,
İşlemci Tipi:AMD Ryzen 7; Ram (Sistem Belleği):16 GB; SSD Kapasitesi:512 GB; İşletim Sistemi:Windows; Ekran Kartı:AMD Radeon Graphics; Hard Disk Kapasitesi:512 GB; Garanti Tipi:Resmi Distribütör Garantili; Ekran Boyutu:16 inç; Çözünürlük:3200 x 2000; Kullanım Amacı:Ofis - İş; Cihaz Ağırlığı:2 kg ve altı; Ekran Yenileme Hızı:120 Hz; Ekran Kartı Tipi:Dahili; Ekran Kartı Hafızası:Paylaşımlı; İşlemci Modeli:7840U; İşlemci Nesli:7. Nesil; İşlemci Çekirdek Sayısı:8; Dokunmatik Ekran:Yok; Ram (Sistem Belleği) Tipi:LPDDR5; Arttırılabilir Azami Bellek:16 GB; Renk:Siyah; Bağlantılar:USB; Klavye:Q Türkçe; Ekran Kartı Bellek Tipi:Belirtilmemiş; Çözünürlük Standartı:FHD+; Garanti Süresi:2 Yıl; Suya/Toza Dayanıklılık:Yok; Hızlı Şarj:Yok; Parmak İzi Okuyucu:Yok;,Acer Swift Edge 16,https://cdn.dsmcdn.com/ty1592/prod/QC/20241022/11/cac54d01-9944-34a6-a9d7-dbfcbdbc3eb0/1_org_zoom.jpg,5.0
